dataset,model_name,GPU_mem,error_rate,valid_loss,train_loss,fit_time
planet,regnetz_d8,4.72265625,0.05588233470916759,0.15025657415390015,0.15609942376613617,35.49354959599441
planet,regnetz_d8,4.544921875,0.052646994590759166,0.15085241198539734,0.15753388404846191,35.829756819992326
planet,regnetz_d8,4.486328125,0.05441176891326904,0.154300257563591,0.1594988852739334,37.52880528999958
planet,regnetz_d32,4.8984375,0.06264704465866078,0.15951311588287354,0.13874447345733645,36.922201686000335
planet,regnetz_d32,4.724609375,0.06676477193832397,0.16539151966571808,0.14223116636276245,37.52446430099371
planet,regnetz_d32,4.66796875,0.06058824062347401,0.16553135216236117,0.14152850210666656,36.55331620600191
planet,regnetz_c16,3.48046875,0.058235347270965576,0.1556377112865448,0.14809224009513855,31.53894725200371
planet,regnetz_c16,3.48046875,0.05588233470916759,0.1558282971382141,0.14956530928611755,31.38450241900864
planet,regnetz_c16,3.328125,0.05617642402648915,0.15641452372074127,0.15198208391666412,32.19239147899498
planet,regnetz_b16,2.82421875,0.05794119834899902,0.3941402733325958,0.18156926333904264,31.18740358899231
planet,regnetz_b16,2.806640625,0.06352943181991577,0.481660395860672,0.17462298274040222,33.60246917899349
planet,regnetz_b16,2.70703125,0.06411767005920399,0.4503189027309418,0.17180971801280975,31.439018206991022
planet,regnetz_040h,5.2421875,0.06000000238418579,0.15787504613399506,0.14999856054782867,38.40236611799628
planet,regnetz_040h,5.12109375,0.06029409170150757,0.2509269416332245,0.15205010771751404,38.8977861309977
planet,regnetz_040h,5.078125,0.05617654323577881,0.15502311289310455,0.15263061225414276,39.15232963601011
planet,regnetz_040,5.203125,0.06647062301635742,0.1689075231552124,0.18144775927066803,37.47324601501168
planet,regnetz_040,5.0390625,0.060882389545440785,0.16588611900806427,0.18249839544296265,38.13577701000031
planet,regnetz_040,5.0390625,0.06470590829849243,0.17210501432418823,0.17548155784606934,37.522929133003345
planet,mobilevit_xxs,1.18359375,0.04941171407699585,0.1374366730451584,0.16228561103343964,22.263946742998087
planet,mobilevit_xxs,1.16796875,0.04999995231628418,0.13580425083637238,0.1633736938238144,21.98736898900825
planet,mobilevit_xxs,1.154296875,0.04764699935913075,0.1355094164609909,0.15953798592090607,22.68930164599442
planet,mobilevit_xs,2.611328125,0.05470597743988037,0.14268618822097778,0.1687835454940796,24.571814823997556
planet,mobilevit_xs,2.58203125,0.05617642402648915,0.14853578805923462,0.16364328563213348,24.60858541500056
planet,mobilevit_xs,2.552734375,0.053529441356658825,0.14436230063438416,0.16323180496692655,24.743761288991664
planet,mobilevit_s,3.099609375,0.05676478147506725,0.15027600526809692,0.1578914374113083,26.080491918997723
planet,mobilevit_s,3.037109375,0.056470632553100586,0.1587163656949997,0.15983732044696808,24.544615932987657
planet,mobilevit_s,2.974609375,0.05882352590560924,0.1564243882894516,0.16172519326210022,24.62532855500467
pets,mobilenetv3_small_100,,,,,
pets,mobilenetv3_small_100,,,,,
pets,mobilenetv3_small_100,,,,,
pets,mobilenetv3_small_075,,,,,
pets,mobilenetv3_small_075,,,,,
pets,mobilenetv3_small_075,,,,,
pets,mobilenetv3_small_050,,,,,
pets,mobilenetv3_small_050,,,,,
pets,mobilenetv3_small_050,,,,,
pets,mobilenetv3_rw,,,,,
pets,mobilenetv3_rw,,,,,
pets,mobilenetv3_rw,,,,,
pets,mobilenetv3_large_100_miil_in21k,,,,,
pets,mobilenetv3_large_100_miil_in21k,,,,,
pets,mobilenetv3_large_100_miil_in21k,,,,,
pets,mobilenetv3_large_100,,,,,
pets,mobilenetv3_large_100,,,,,
pets,mobilenetv3_large_100,,,,,
